# Region type :   patch ambient_openings
# Faces           : 8098
# Area            : 2.0799987579e+00
# Scale factor    : 1.0000000000e+00
# Time            	sumMag(phi)
0.000112          	4.3304197819e-05
0.0001264         	4.8864114388e-05
0.00014368        	5.5532942691e-05
0.000164416       	6.3535290967e-05
0.0001892992      	7.3141233100e-05
0.0002142992      	8.2787944751e-05
0.0002392992      	9.2437662537e-05
0.0002642992      	1.0209510179e-04
0.0002892992      	1.1175190764e-04
0.0003142992      	1.2140377784e-04
0.0003392992      	1.3105368054e-04
0.0003642992      	1.4070035879e-04
0.0003892992      	1.5034862677e-04
0.0004142992      	1.5999455478e-04
0.0004392992      	1.6964167583e-04
0.0004642992      	1.7928667420e-04
0.0004892992      	1.8893133133e-04
0.0005142992      	1.9857524668e-04
0.0005392992      	2.0821771591e-04
0.0005642992      	2.1785984061e-04
0.0005892992      	2.2750038485e-04
0.0006142992      	2.3714043155e-04
0.0006392992      	2.4677848707e-04
0.0006642992      	2.5641609248e-04
0.0006892992      	2.6605183231e-04
0.0007142992      	2.7568738238e-04
0.0007392992      	2.8532098079e-04
0.0007642992      	2.9495444661e-04
0.0007892992      	3.0458579453e-04
0.0008142992      	3.1421689642e-04
0.0008392992      	3.2384614211e-04
0.0008642992      	3.3347490983e-04
0.0008892992      	3.4310238430e-04
0.0009142992      	3.5272867744e-04
0.0009392992      	3.6235417069e-04
0.0009642992      	3.7197777580e-04
0.0009892992      	3.8160148342e-04
0.0010142992      	3.9122244350e-04
0.0010392992      	4.0084427303e-04
0.0010642992      	4.1046282802e-04
0.0010892992      	4.2008279650e-04
0.0011142992      	4.2969930880e-04
0.0011392992      	4.3931704875e-04
0.0011642992      	4.4893172936e-04
0.0011892992      	4.5854708501e-04
0.0012142992      	4.6815981201e-04
0.0012392992      	4.7777280374e-04
0.0012642992      	4.8738363104e-04
0.0012892992      	4.9699417395e-04
0.0013142992      	5.0660301173e-04
0.0013392992      	5.1621126824e-04
0.0013642992      	5.2581808299e-04
0.0013892992      	5.3542406970e-04
0.0014142992      	5.4502876754e-04
0.0014392992      	5.5463245331e-04
0.0014642992      	5.6423502381e-04
0.0014892992      	5.7383640309e-04
0.0015142992      	5.8343707825e-04
0.0015392992      	5.9303622161e-04
0.0015642992      	6.0263484923e-04
0.0015892992      	6.1223147339e-04
0.0016142992      	6.2182801650e-04
0.0016392992      	6.3142217155e-04
0.0016642992      	6.4101657800e-04
0.0016892992      	6.5060821566e-04
0.0017142992      	6.6020030947e-04
0.0017392992      	6.6978950668e-04
0.0017642992      	6.7937930738e-04
