# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.000112          	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	2.3460323692e-01	(1.0050000507e-01 4.3628034963e-02 1.4857531256e-01)	1
0.000112          	k                 	1.5690683119e-06	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3	1.0017058384e-02	(-1.2349981135e-01 4.3727081362e-02 1.5067922078e-01)	1
0.000112          	omega             	1.9996291280e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361631e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.000112          	p                 	-1.9427949490e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.8283242758e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0001264         	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	2.6393528869e-01	(1.0050000507e-01 4.3628034963e-02 1.4857531256e-01)	1
0.0001264         	k                 	1.5076364601e-06	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3	1.0019444023e-02	(-1.2349981135e-01 4.3727081362e-02 1.5067922078e-01)	1
0.0001264         	omega             	1.9995814540e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361631e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0001264         	p                 	-1.9200120804e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.7942900017e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.00014368        	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	2.9917070014e-01	(1.0050000507e-01 4.3628034963e-02 1.4857531256e-01)	1
0.00014368        	k                 	1.4278378304e-06	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3	1.0022332388e-02	(-1.2349981135e-01 4.3727081362e-02 1.5067922078e-01)	1
0.00014368        	omega             	1.9995242481e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361630e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.00014368        	p                 	-1.9152329236e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.7780744723e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.000164416       	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	3.4127665189e-01	(1.0050000507e-01 4.3628034963e-02 1.4857531256e-01)	1
0.000164416       	k                 	1.3270393797e-06	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3	1.0029718900e-02	(1.2749980757e-01 4.2723282965e-02 1.9140171572e-01)	0
0.000164416       	omega             	1.9994556049e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361629e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.000164416       	p                 	-1.9037937202e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.7780207500e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
