# y+ ()           
# Time            	patch             	min               	max               	average           
0.0029642992      	printed	1.7562498518e-04	6.3482797776e+00	1.2703639619e+00
0.0029642992      	laptop	1.4411579606e-02	8.0410633217e+00	1.1522476623e+00
0.0029642992      	noctua	3.6848084571e-03	5.8652436686e+00	1.5992823559e+00
0.0029642992      	wall_plane	3.4355342615e-03	3.4302184015e+00	1.5242483347e+00
0.0055142992      	printed	2.5242732050e-04	8.5052131814e+00	1.6511292655e+00
0.0055142992      	laptop	3.5995136445e-02	9.8148142622e+00	1.4638420592e+00
0.0055142992      	noctua	3.8984784298e-03	7.1638157603e+00	2.0275513045e+00
0.0055142992      	wall_plane	4.2760677045e-03	4.6955129074e+00	2.0720779391e+00
0.0072392992      	printed	3.2763665731e-04	9.5222028600e+00	1.8344742111e+00
0.0072392992      	laptop	3.5946170786e-02	1.1934413275e+01	1.6060935419e+00
0.0072392992      	noctua	3.8440033387e-03	7.6584785179e+00	2.2343273461e+00
0.0072392992      	wall_plane	4.4967988947e-03	5.3997498372e+00	2.3703916892e+00
