layer,z_mm,area_mm2,sparse_core_mm2,estimated_polymer_mm2,beyond_30deg_support_mm2
1,0.10010000000000001,3652.1910338872076,0.0,3652.1910338872076,0.0
2,0.30010000000000003,3652.2465416841587,0.0,3652.2465416841587,0.0
3,0.5001000000000001,3652.306044515582,0.0,3652.306044515582,0.0
4,0.7001000000000001,3652.3713037883913,0.0,3652.3713037883913,0.0
5,0.9001000000000001,3652.4287134412716,0.0,3652.4287134412716,0.0
6,1.1001000000000003,3652.4493362541725,2675.7120522871146,1511.879694424481,0.0
7,1.3001000000000003,3652.442413836703,2675.712816965238,1511.8721602645128,0.0
8,1.5001000000000004,3652.443159489158,2675.7210348716494,1511.8663315918384,0.0
9,1.7001000000000004,3652.414605727203,2675.6958601340184,1511.8579176199878,0.0
10,1.9001000000000003,3652.3652279146063,2675.6490144359614,1511.846016365837,0.0
11,2.1001000000000007,3652.309986289516,2675.594575426352,1511.834325948434,0.0
12,2.300100000000001,3652.2493458379345,2675.5317459309476,1511.8239490931765,0.0
13,2.5001000000000007,3652.183566758385,2675.463484487437,1511.812779168435,0.0
14,2.700100000000001,3652.128603090956,2675.4078794940824,1511.80229949569,0.0
15,2.900100000000001,3652.0901011710275,2675.3689541697026,1511.7949378352655,0.0
16,3.1001000000000007,3652.0660377311324,2651.1264032751865,1531.1649151109832,0.0
17,3.300100000000001,3652.019448755085,2634.4166161298936,1544.4861558511698,0.0
18,3.500100000000001,3651.940680334603,2622.9557146270213,1553.5761086329858,0.0
19,3.700100000000001,3651.854162618307,2586.2819833593485,1582.8285759308278,0.0
20,3.900100000000001,3651.7598192180385,1031.9096915709972,2826.2320659612406,0.0
21,4.1001,3608.7723946963742,1018.604090319565,2793.889122440722,0.0
22,4.3001000000000005,3578.3849192933235,1007.4303696520648,2772.4406235716715,0.0
23,4.500100000000001,3559.593805635758,990.9758465195716,2766.813128420101,0.0
24,4.7001,3517.0912551160836,973.4600292454895,2738.323231719692,0.0
25,4.9001,1420.3205434475421,816.5888601682302,767.0494553129579,0.0
26,5.1001,1405.0570726018098,808.394577837365,758.3414103319177,0.0
