layer,z_mm,area_mm2,sparse_core_mm2,estimated_polymer_mm2,beyond_30deg_support_mm2
1,0.10010000000000001,4669.055243244584,0.0,4669.055243244584,0.0
2,0.30010000000000003,4652.190949261279,0.0,4652.190949261279,0.0
3,0.5001000000000001,4634.649329957856,0.0,4634.649329957856,0.0
4,0.7001000000000001,4616.219726708374,0.0,4616.219726708374,0.0
5,0.9001000000000001,4596.333000442161,0.0,4596.333000442161,0.0
6,1.1001000000000003,4575.8159958084325,3599.168489870296,1696.4812039121953,0.0
7,1.3001000000000003,4554.031557576637,3563.2372268819863,1703.441776071048,0.0
8,1.5001000000000004,4531.627017250712,3539.525189998746,1700.0068652517148,0.0
9,1.7001000000000004,4509.338286096145,3518.9342103938084,1694.1909177810976,0.0
10,1.9001000000000003,4487.248289228097,3498.231028791649,1688.6634661947774,0.0
11,2.1001000000000007,4465.313750908203,3477.274672381237,1683.4940130032128,0.0
12,2.300100000000001,4443.519286600847,3456.3290053908677,1678.456082288153,0.0
13,2.5001000000000007,4421.96615174413,3434.207887424557,1674.5998418044842,0.0
14,2.700100000000001,4400.7207408618415,3413.2625955472,1670.1106644240813,0.0
15,2.900100000000001,4379.72199427448,3392.357323465797,1665.836135501842,0.0
16,3.1001000000000007,4358.947070303812,3306.423203685487,1713.8085073554225,0.0
17,3.300100000000001,4338.353048807619,3237.4549551700493,1748.38908467158,0.0
18,3.500100000000001,4317.943802279623,3186.479547528337,1768.760164256953,0.0
19,3.700100000000001,4297.783045436231,3115.2216208059936,1805.6057487914359,0.0
20,3.900100000000001,4277.808051703628,1802.9681630430841,2835.4335212691603,0.0
21,4.1001,4181.943883907385,1753.753433082588,2778.941137441314,0.0
22,4.3001000000000005,4107.3222540409115,1706.2382069900382,2742.331688448881,0.0
23,4.500100000000001,4051.2461343584264,1658.0113322700809,2724.8370685423615,0.0
24,4.7001,3975.7578264602057,1610.1567028962215,2687.6324641432284,0.0
25,4.9001,2204.2616808588778,1430.9534446853827,1059.4989251105715,0.0
26,5.1001,2151.3450942549052,1393.990920504949,1036.1523578509461,0.0
27,5.3001000000000005,2102.914945730806,1359.2782813124654,1015.4923206808335,0.0
28,5.500100000000001,2057.8759925439817,1324.6882638664285,998.1253814508389,0.0
29,5.700100000000001,2015.5520518757617,1290.7580924456136,982.9455779192708,0.0
30,5.9001,1975.541068397277,1258.0861586401566,969.0721414851517,0.0
31,6.1001,1937.6017027125745,1227.0397263622267,955.9699216227931,0.0
32,6.3001000000000005,1901.524900050302,1197.564408374701,943.4733733505411,0.0
33,6.500100000000001,1867.2177315031142,1169.7234744498364,931.438951943245,0.0
34,6.700100000000001,1834.4414316102525,1143.2369862705782,919.8518425937899,0.0
35,6.900100000000001,1803.184115062842,1118.1900988268792,908.6320360013386,0.0
36,7.100100000000001,1773.276654727314,1094.392061602125,897.763005445614,0.0
37,7.3001000000000005,1744.5432341086585,1071.728714123582,887.1602628097928,0.0
38,7.500100000000001,1717.0595487848161,1050.0680563202175,877.0051037286421,0.0
39,7.700100000000001,1690.6099367251513,1021.7722180397565,873.1921622933461,0.0
40,7.900100000000001,1665.2630435194733,998.8093042137671,866.2156001484595,0.0
41,8.100100000000001,1640.8635471819173,977.3547024557055,858.9797852173529,0.0
42,8.3001,1617.4391267753263,957.0504446593584,851.7987710478395,0.0
43,8.500100000000002,1594.9242722179993,937.6748070000791,844.7844266179359,0.0
44,8.7001,1555.0360483121838,919.2027900827119,819.6738162460142,0.0
45,8.900100000000002,1527.1112772939425,901.3095320437455,806.063651658946,0.0
46,9.100100000000001,1502.0025037768744,883.2467437685597,795.4051087620267,0.0
47,9.3001,1478.6538526623492,866.1753235446901,785.7135938265972,0.0
48,9.500100000000002,1456.709097017476,849.9857469505903,776.7204994570038,0.0
49,9.7001,1436.0506392756272,834.5915443563946,768.3774037905115,0.0
50,9.900100000000002,1416.6542106420447,820.1153002411464,760.5619704491276,0.0
51,10.100100000000001,1398.300827840269,806.4108054110794,753.1721835114054,0.0
52,10.300100000000002,1381.0531079208868,793.5627985640032,746.2028690696842,0.0
53,10.500100000000002,1364.7831572892246,781.395023837817,739.667138218971,0.0
54,10.7001,1349.5828743110208,769.9772108216824,733.6011056536747,0.0
55,10.900100000000002,1335.3853759555222,759.4244752965285,727.8457957182994,0.0
56,11.100100000000001,1322.7653301085795,750.1776113035322,722.6232410657537,0.0
57,11.300100000000002,1311.65482638552,742.2169159145658,717.8812936538674,0.0
58,11.500100000000002,1302.4672143069386,735.8498682602749,713.7873196987186,0.0
59,11.7001,1294.3784698214256,730.2452082145442,710.1823032497903,0.0
60,11.900100000000002,1287.0161761414925,725.0791719811056,706.952838556608,0.0
61,12.100100000000001,1280.5121907520893,720.5200905468324,704.0961183146234,0.0
62,12.300100000000002,1274.682839531608,716.409465987913,701.5552667412775,0.0
63,12.500100000000002,1269.7213289738972,712.9429131477834,699.3669984556705,0.0
64,12.700100000000003,1265.5478917518421,709.9873122035299,697.5580419890182,0.0
65,12.900100000000002,1262.3265401389426,707.5212250967747,696.3095600615228,0.0
66,13.100100000000001,1259.8372043603963,705.5201723693353,695.421066464928,0.0
67,13.300100000000002,1257.9257849205837,703.8263760858987,694.8646840518647,0.0
68,13.500100000000002,1256.6789201528784,702.5695682149347,694.6232655809306,0.0
69,13.700100000000003,1256.0345407410223,701.6796510749869,694.6908198810328,0.0
70,13.900100000000002,1256.031887209451,701.2424489993539,695.0379280099679,0.0
71,14.100100000000003,1253.466648484724,698.1851968318824,694.918491019218,0.0
72,14.300100000000002,1255.0360684291481,699.1503203177094,695.7158121749806,0.0
73,14.500100000000002,1256.8672249250662,700.2975827750186,696.6291587050514,0.0
74,14.700100000000003,1259.0619192610739,701.773714317197,697.6429478073162,0.0
75,14.900100000000002,1261.5351396947844,703.4381774182649,698.7845977601725,0.0
76,15.100100000000003,1264.4416307949919,87.58069511578418,1194.3770747023646,0.0
77,15.300100000000002,1267.605750519119,88.54879163580325,1196.7667172104764,0.0
78,15.500100000000002,1242.6612999480283,89.70576500909368,1170.8966879407533,0.0
79,15.700100000000003,1184.6536101914112,90.95387400160764,1111.890510990125,0.0
80,15.900100000000002,1126.1974466320264,92.32016237698525,1052.3413167304382,0.0
81,16.100100000000005,238.3477435868996,93.76875614432953,163.332738671436,0.0
82,16.300100000000004,240.36003013259446,95.32932169171636,164.0965727792214,0.0
