element_number, cg_x, cg_y, cg_z, element_state, sensitivity_number, FI_max
6, 11.0, 1.0, 0.0, 0, 3.203619245543065e-10, 0
7, 13.0, 1.0, 0.0, 0, 3.33816188470743e-10, 0
8, 15.0, 1.0, 0.0, 0, 2.1900333733203712e-10, 0
9, 17.0, 1.0, 0.0, 0, 1.5853974443498152e-10, 0
10, 19.0, 1.0, 0.0, 0, 1.182964602818515e-10, 0
11, 21.0, 1.0, 0.0, 0, 8.730713615140337e-11, 0
12, 23.0, 1.0, 0.0, 0, 6.427450045455109e-11, 0
13, 25.0, 1.0, 0.0, 0, 4.7340289333278055e-11, 0
14, 27.0, 1.0, 0.0, 0, 3.4704995416247884e-11, 0
15, 29.0, 1.0, 0.0, 0, 2.5138709989990373e-11, 0
16, 31.0, 1.0, 0.0, 0, 1.78791938022484e-11, 0
17, 33.0, 1.0, 0.0, 0, 1.2414792283577275e-11, 0
18, 35.0, 1.0, 0.0, 0, 8.366557475664779e-12, 0
19, 37.0, 1.0, 0.0, 0, 5.4364640479616965e-12, 0
20, 39.0, 1.0, 0.0, 0, 3.380869766972286e-12, 0
21, 41.0, 1.0, 0.0, 0, 1.9979442999194132e-12, 0
22, 43.0, 1.0, 0.0, 0, 1.1281849501203386e-12, 0
23, 45.0, 1.0, 0.0, 0, 5.94412074218056e-13, 0
24, 47.0, 1.0, 0.0, 0, 3.0183328548255416e-13, 0
25, 49.0, 1.0, 0.0, 0, 1.502106233554489e-13, 0
26, 51.0, 1.0, 0.0, 0, 7.67794909353414e-14, 0
27, 53.0, 1.0, 0.0, 0, 4.8065276148540573e-14, 0
28, 55.0, 1.0, 0.0, 0, 3.2729438497444e-14, 0
29, 57.0, 1.0, 0.0, 0, 2.1328196411764187e-14, 0
30, 59.0, 1.0, 0.0, 0, 1.8118292032709765e-14, 0
36, 11.0, 3.0, 0.0, 0, 3.7609495572508526e-10, 0
37, 13.0, 3.0, 0.0, 0, 3.0167630171061364e-10, 0
38, 15.0, 3.0, 0.0, 0, 2.1215941275791767e-10, 0
39, 17.0, 3.0, 0.0, 0, 1.6087129372560622e-10, 0
40, 19.0, 3.0, 0.0, 0, 1.2244551489284959e-10, 0
41, 21.0, 3.0, 0.0, 0, 9.123191695588265e-11, 0
42, 23.0, 3.0, 0.0, 0, 6.832134781265135e-11, 0
43, 25.0, 3.0, 0.0, 0, 5.157096756795038e-11, 0
44, 27.0, 3.0, 0.0, 0, 3.8825394396629925e-11, 0
45, 29.0, 3.0, 0.0, 0, 2.8920793587016345e-11, 0
46, 31.0, 3.0, 0.0, 0, 2.1222073613236745e-11, 0
47, 33.0, 3.0, 0.0, 0, 1.5287382003550176e-11, 0
48, 35.0, 3.0, 0.0, 0, 1.076982619452722e-11, 0
49, 37.0, 3.0, 0.0, 0, 7.388781169963207e-12, 0
50, 39.0, 3.0, 0.0, 0, 4.912485135755731e-12, 0
51, 41.0, 3.0, 0.0, 0, 3.147439723648665e-12, 0
52, 43.0, 3.0, 0.0, 0, 1.936496434704099e-12, 0
53, 45.0, 3.0, 0.0, 0, 1.1386221316884062e-12, 0
54, 47.0, 3.0, 0.0, 0, 6.267485307418128e-13, 0
55, 49.0, 3.0, 0.0, 0, 3.1609840434266577e-13, 0
56, 51.0, 3.0, 0.0, 0, 1.4441504305516248e-13, 0
57, 53.0, 3.0, 0.0, 0, 6.833216539776281e-14, 0
58, 55.0, 3.0, 0.0, 0, 3.813213182262718e-14, 0
59, 57.0, 3.0, 0.0, 0, 2.2675725162590352e-14, 0
60, 59.0, 3.0, 0.0, 0, 2.1256653370759645e-14, 0
66, 11.0, 5.0, 0.0, 0, 3.931273206228659e-10, 0
