layer,z_mm,wall_mm2,skin_mm2,infill_envelope_mm2,polymer_mm2
1,0.2,799.9047937665518,2124.7995609082714,0.0,2924.704354674823
2,0.4,799.9047937665518,2124.7995609082714,0.0,2924.704354674823
3,0.6,799.9047937665518,2124.7995609082714,0.0,2924.704354674823
4,0.8,799.9047937665518,2124.7995609082714,0.0,2924.704354674823
5,1.0,799.9047937665518,2124.7995609082714,0.0,2924.704354674823
6,1.2,799.9047937665518,16.377343442604342,2108.422217465667,1237.9665807022895
7,1.4,799.9047937665518,16.377343442604342,2108.422217465667,1237.9665807022895
8,1.6,799.9047937665518,16.377343442604342,2108.422217465667,1237.9665807022895
9,1.8,799.9047937665518,16.377343442604342,2108.422217465667,1237.9665807022895
10,2.0,799.9047937665518,16.377343442604342,2108.422217465667,1237.9665807022895
11,2.2,804.6254957403739,-4.547473508864641e-13,2057.4718160971465,1216.1198589598027
12,2.4,804.6254957403739,-4.547473508864641e-13,2057.4718160971465,1216.1198589598027
13,2.6,804.6254957403739,-4.547473508864641e-13,2057.4718160971465,1216.1198589598027
14,2.8,804.6254957403739,-4.547473508864641e-13,2057.4718160971465,1216.1198589598027
15,3.0,804.6254957403739,-4.547473508864641e-13,2057.4718160971465,1216.1198589598027
16,3.2,804.6254957403739,1204.96714919739,852.5046668997562,2180.093578317715
17,3.4,804.6254957403739,1204.96714919739,852.504666899756,2180.093578317715
18,3.6,804.6254957403739,1204.96714919739,852.504666899756,2180.093578317715
19,3.8,804.6254957403739,1204.96714919739,852.5046668997562,2180.093578317715
20,4.0,804.6254957403739,1204.96714919739,852.5046668997562,2180.093578317715
21,4.2,698.3569051883607,1.1368683772161603e-13,710.8918436453112,840.535273917423
22,4.4,698.3569051883607,1.1368683772161603e-13,710.8918436453112,840.535273917423
23,4.6,698.3569051883607,1.1368683772161603e-13,710.8918436453112,840.535273917423
24,4.8,698.3569051883607,1.1368683772161603e-13,710.8918436453112,840.535273917423
25,5.0,698.3569051883607,1.1368683772161603e-13,710.8918436453112,840.535273917423
26,5.2,698.3569051883607,5.3511999538885675,705.5406436914227,844.8162338805338
27,5.4,698.3569051883607,5.3511999538885675,705.5406436914227,844.8162338805338
28,5.6,698.3569051883607,5.3511999538885675,705.5406436914227,844.8162338805338
29,5.8,698.3569051883607,5.3511999538885675,705.5406436914227,844.8162338805338
30,6.0,698.3569051883607,5.3511999538885675,705.5406436914227,844.8162338805338
31,6.2,704.0541435482643,1.1368683772161603e-13,686.9672246975163,841.4475884877677
32,6.4,704.0541435482643,1.1368683772161603e-13,686.9672246975163,841.4475884877677
33,6.6,704.0541435482643,1.1368683772161603e-13,686.9672246975163,841.4475884877677
34,6.8,704.0541435482643,1.1368683772161603e-13,686.9672246975163,841.4475884877677
35,7.0,704.0541435482643,1.1368683772161603e-13,686.9672246975163,841.4475884877677
36,7.2,704.0541435482643,5.132252487161281,681.8349722103551,845.5533904774966
37,7.4,704.0541435482643,5.132252487161281,681.8349722103551,845.5533904774966
38,7.6,704.0541435482643,5.132252487161281,681.8349722103551,845.5533904774966
39,7.8,704.0541435482643,5.132252487161281,681.8349722103551,845.5533904774966
40,8.0,704.0541435482643,5.132252487161281,681.8349722103551,845.5533904774966
41,8.2,692.526011050924,1.1368683772161603e-13,668.0301467921465,826.1320404093534
42,8.4,692.526011050924,1.1368683772161603e-13,668.0301467921465,826.1320404093534
43,8.6,692.526011050924,1.1368683772161603e-13,668.0301467921465,826.1320404093534
44,8.8,692.526011050924,1.1368683772161603e-13,668.0301467921465,826.1320404093534
45,9.0,692.526011050924,1.1368683772161603e-13,668.0301467921465,826.1320404093534
46,9.2,692.526011050924,3.8214822418566428,664.20866455029,829.1892262028387
47,9.4,692.526011050924,3.8214822418566428,664.20866455029,829.1892262028387
48,9.6,692.526011050924,3.8214822418566428,664.20866455029,829.1892262028387
49,9.8,692.526011050924,3.8214822418566428,664.20866455029,829.1892262028387
50,10.0,692.526011050924,3.8214822418566428,664.20866455029,829.1892262028387
51,10.2,684.2396091296433,0.0,652.3036994743806,814.7003490245195
52,10.4,684.2396091296433,0.0,652.3036994743806,814.7003490245195
53,10.6,684.2396091296433,0.0,652.3036994743806,814.7003490245195
54,10.8,684.2396091296433,0.0,652.3036994743806,814.7003490245195
55,11.0,684.2396091296433,0.0,652.3036994743806,814.7003490245195
56,11.2,684.2396091296433,652.3036994743806,0.0,1336.5433086040239
57,11.4,684.2396091296433,652.3036994743806,0.0,1336.5433086040239
58,11.6,684.2396091296433,652.3036994743806,0.0,1336.5433086040239
59,11.8,684.2396091296433,652.3036994743806,0.0,1336.5433086040239
60,12.0,684.2396091296433,652.3036994743806,0.0,1336.5433086040239
